"FileId","RepoRelativePath","FileName","Extension","HasKidsSignal","HasRouteSignal","HasProgressSignal","HasGameSignal","Sha256","Status"
"KID-SRC-035","__BASELINE_BACKEND_PHASE5D_20260105_184300/daily-challenge/dailyChallengeRoutes.ts","dailyChallengeRoutes.ts",".ts","NO","NO","NO","YES","33B17A0F2D675D02F7482D696A80F517EECDDAAA8AC3D2A358EC42256754F763","DISCOVERED"
"KID-SRC-036","__BASELINE_BACKEND_PHASE5D_20260105_184300/data/progress.json","progress.json",".json","NO","NO","NO","YES","68E601E1D278E2C3692E99393BFF001D0094FF1BC89CC2532F3625C733CFE929","DISCOVERED"
"KID-SRC-037","__BASELINE_BACKEND_PHASE5D_20260105_184300/data/puzzleDifficulty.json","puzzleDifficulty.json",".json","NO","NO","NO","NO","B7DEE7A377B27897E626AD6B9B77E3DFE1CCD4FE4EEDE670518E1E2C6F349AA2","DISCOVERED"
"KID-SRC-038","__BASELINE_BACKEND_PHASE5D_20260105_184300/puzzles.json","puzzles.json",".json","NO","NO","NO","NO","38E44FF03166869281A0F09C38915342D9287802506B161D3F658FFE57F585C9","DISCOVERED"
"KID-SRC-039","__BASELINE_BACKEND_PHASE5D_20260105_184300/puzzles/_legacy/puzzles.json","puzzles.json",".json","NO","NO","NO","NO","38E44FF03166869281A0F09C38915342D9287802506B161D3F658FFE57F585C9","DISCOVERED"
"KID-SRC-040","__BASELINE_BACKEND_PHASE5D_20260105_184300/routes/progress.ts","progress.ts",".ts","NO","NO","YES","YES","AC539F6B00F83E4519AAF9C2373D57360E7F0D842EADD7E3B43172072C6649B5","DISCOVERED"
"KID-SRC-041","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/App.backup.js","App.backup.js",".js","YES","NO","NO","NO","56099084404ADCA4A8B3B2BF5F141462DEB01BBAC9F293B4A54124F2DBC5C593","DISCOVERED"
"KID-SRC-042","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/App.js","App.js",".js","YES","NO","YES","YES","502F225BF925CEE19536803F3168E06F9EC09D39C4BBCFA07D32B21E56EB5B8D","DISCOVERED"
"KID-SRC-043","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/dailyChallengeApi.js","dailyChallengeApi.js",".js","NO","NO","NO","YES","C6C697A996AA47E1818817E76ABDD923FF8EF5F85CBDA0D71D3EEA30737861EF","DISCOVERED"
"KID-SRC-044","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/DailyChallengeDetailPage.js","DailyChallengeDetailPage.js",".js","YES","NO","YES","YES","8701B3DE863A51C99E58FA2FC38642A015855FF87982BE4BAEB55092271FD54C","DISCOVERED"
"KID-SRC-045","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/DailyChallengeHomeCard.js","DailyChallengeHomeCard.js",".js","YES","NO","YES","YES","62C0DEF2DE3016A45AA5BA2A55A2DB16962EF8C0C634287BD4BFBC5E6B1F9AF2","DISCOVERED"
"KID-SRC-046","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/ErrorBanner.js","ErrorBanner.js",".js","YES","NO","NO","NO","6B1D1CDE1C414701BA530EDFCA6721EE471C40EB7E2BE9B0CA8052D7005F56F2","DISCOVERED"
"KID-SRC-047","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/ErrorBoundary.js","ErrorBoundary.js",".js","YES","NO","NO","NO","160B5A3CA454A31E51F9089EDD2236A2B0E930F0BDEF9DD4D05032F1614C9D44","DISCOVERED"
"KID-SRC-048","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/GamePanel.js","GamePanel.js",".js","YES","NO","NO","YES","800184DAC5136EE0F7E145D11059FFFEA2A2CE6B18D3124EC6785A712EABE875","DISCOVERED"
"KID-SRC-049","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/HealthPanel.js","HealthPanel.js",".js","YES","NO","NO","NO","800463DD52FF0338352CFD2DBE619AFE4343B8C699F2FD3AC87208332FF3D18B","DISCOVERED"
"KID-SRC-050","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/main.js","main.js",".js","YES","NO","NO","NO","8CEA00D52121807F9C9F261B3857D8BFA12AB4DF371ED0E916C3BD64056113FF","DISCOVERED"
"KID-SRC-051","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/models.js","models.js",".js","NO","NO","NO","NO","8E609BB71C20B858C77F0E9F90BB1319DB8477B13F9F965F1A1E18524BF50881","DISCOVERED"
"KID-SRC-052","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/ProgressPanel.js","ProgressPanel.js",".js","YES","NO","YES","YES","520DD788B23AB34603C42581123BE40ECBC2E9845C60E3FC1870D441F57C6BA5","DISCOVERED"
