"FilePath","LineNumber","MatchType","RouteValue","Snippet"
"frontend/src/App.tsx","33","ROUTE_OR_NAVIGATION_REFERENCE","/app/solve","<Route path=""/app/solve"" element={<SolvePuzzle />} />"
"frontend/src/App.tsx","36","ROUTE_OR_NAVIGATION_REFERENCE","/solve","<Route path=""/solve"" element={<Navigate to=""/app/solve"" replace />} />"
"frontend/src/App.tsx","37","ROUTE_OR_NAVIGATION_REFERENCE","","</Routes>"
"frontend/src/components/HealthPanel.tsx","2","ROUTE_OR_NAVIGATION_REFERENCE","","import { Link } from ""react-router-dom"";"
"frontend/src/components/HealthPanel.tsx","54","ROUTE_OR_NAVIGATION_REFERENCE","/app/daily","<Link to=""/app/daily"">Daily UI</Link>"
"frontend/src/components/HealthPanel.tsx","57","ROUTE_OR_NAVIGATION_REFERENCE","/app/progress","<Link to=""/app/progress"">Progress</Link>"
"frontend/src/components/HealthPanel.tsx","60","ROUTE_OR_NAVIGATION_REFERENCE","/app/solve","<Link to=""/app/solve"">Solve a Puzzle</Link>"
"frontend/src/daily-challenge/DailyChallengeDetailPage.tsx","2","ROUTE_OR_NAVIGATION_REFERENCE","","import { Link } from ""react-router-dom"";"
"frontend/src/daily-challenge/DailyChallengeDetailPage.tsx","210","ROUTE_OR_NAVIGATION_REFERENCE","/","<Link to=""/"">← Back to Home</Link>"
"frontend/src/daily-challenge/DailyChallengeHomeCard.tsx","38","ROUTE_OR_NAVIGATION_REFERENCE","/app/daily","window.location.href = ""/app/daily"";"
"frontend/src/lib/api.QUARANTINED.ts","14","ROUTE_OR_NAVIGATION_REFERENCE","","path: string,"
"frontend/src/lib/auth.ts","2","ROUTE_OR_NAVIGATION_REFERENCE","/login","export function clearAuth(){ localStorage.removeItem(""token""); window.location.href=""/login""; }"
"frontend/src/main.tsx","5","ROUTE_OR_NAVIGATION_REFERENCE","","import { BrowserRouter } from ""react-router-dom"";"
"frontend/src/main.tsx","24","ROUTE_OR_NAVIGATION_REFERENCE","","<BrowserRouter>"
"frontend/src/main.tsx","26","ROUTE_OR_NAVIGATION_REFERENCE","","</BrowserRouter>"
"frontend/src/pages/SolvePuzzle.tsx","2","ROUTE_OR_NAVIGATION_REFERENCE","","import { Link } from ""react-router-dom"";"
"frontend/src/pages/SolvePuzzle.tsx","30","ROUTE_OR_NAVIGATION_REFERENCE","","async function fetchJson<T>(path: string): Promise<T> {"
"frontend/src/pages/SolvePuzzle.tsx","36","ROUTE_OR_NAVIGATION_REFERENCE","","async function postJson<T>(path: string, body: any): Promise<T> {"
"frontend/src/pages/SolvePuzzle.tsx","320","ROUTE_OR_NAVIGATION_REFERENCE","/","<Link to=""/"">Back to Home</Link>"
